Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,2,172.16.2.4,106.535:195.061:0,5,1,2048bps
0.5,2,172.16.2.4,105.882:195.819:0,5,1,2048bps
1,2,172.16.2.4,105.229:196.576:0,5,1,2048bps
1.5,2,172.16.2.4,104.576:197.333:0,5,1,2048bps
2,2,172.16.2.4,103.923:198.091:0,5,1,2048bps
2.5,2,172.16.2.4,103.27:198.848:0,5,1,2048bps
3,2,172.16.2.4,102.617:199.606:0,5,1,2048bps
3.5,2,172.16.2.4,101.965:200.363:0,8,1,2048bps
4,2,172.16.2.4,101.312:201.12:0,8,1,2048bps
4.5,2,172.16.2.4,100.659:201.878:0,8,1,2048bps
5,2,172.16.2.4,100.006:202.635:0,8,1,2048bps
5.5,2,172.16.2.4,99.3527:203.393:0,7,1,2048bps
6,2,172.16.2.4,98.6998:204.15:0,7,1,2048bps
6.5,2,172.16.2.4,98.0469:204.908:0,7,1,2048bps
7,2,172.16.2.4,97.3939:205.665:0,7,1,2048bps
7.5,2,172.16.2.4,96.741:206.422:0,7,1,2048bps
8,2,172.16.2.4,96.0881:207.18:0,7,1,2048bps
8.5,2,172.16.2.4,95.4351:207.937:0,7,1,2048bps
9,2,172.16.2.4,94.7822:208.695:0,7,1,2048bps
9.5,2,172.16.2.4,94.1292:209.452:0,7,1,2048bps
10,2,172.16.2.4,93.4763:210.209:0,7,1,2048bps
10.5,2,172.16.2.4,92.8234:210.967:0,7,1,2048bps
11,2,172.16.2.4,92.1704:211.724:0,7,1,2048bps
11.5,2,172.16.2.4,91.5175:212.482:0,7,1,2048bps
12,2,172.16.2.4,90.8646:213.239:0,7,1,2048bps
12.5,2,172.16.2.4,90.2116:213.996:0,7,1,2048bps
13,2,172.16.2.4,89.5587:214.754:0,7,1,2048bps
13.5,2,172.16.2.4,88.9057:215.511:0,7,1,2048bps
14,2,172.16.2.4,88.2528:216.269:0,7,1,2048bps
14.5,2,172.16.2.4,87.5999:217.026:0,7,1,2048bps
15,2,172.16.2.4,86.9469:217.784:0,7,1,2048bps
15.5,2,172.16.2.4,86.294:218.541:0,7,1,2048bps
16,2,172.16.2.4,85.641:219.298:0,7,1,2048bps
16.5,3,172.16.3.4,84.9881:220.056:0,7,1,2048bps
17,3,172.16.3.4,84.3352:220.813:0,7,1,2048bps
17.5,3,172.16.3.4,83.6822:221.571:0,7,1,2048bps
18,3,172.16.3.4,83.0293:222.328:0,7,1,2048bps
18.5,3,172.16.3.4,82.3764:223.085:0,7,1,2048bps
19,3,172.16.3.4,81.7234:223.843:0,7,1,2048bps
19.5,3,172.16.3.4,81.0705:224.6:0,7,1,2048bps
20,3,172.16.3.4,80.4175:225.358:0,7,1,2048bps
20.5,3,172.16.3.4,79.7646:226.115:0,7,1,2048bps
21,3,172.16.3.4,79.1117:226.872:0,7,1,2048bps
21.5,3,172.16.3.4,78.4587:227.63:0,7,1,2048bps
22,3,172.16.3.4,77.8058:228.387:0,7,1,2048bps
22.5,3,172.16.3.4,77.1528:229.145:0,7,1,2048bps
23,3,172.16.3.4,76.4999:229.902:0,7,1,2048bps
23.5,3,172.16.3.4,75.847:230.66:0,7,1,2048bps
24,3,172.16.3.4,75.194:231.417:0,7,1,2048bps
24.5,3,172.16.3.4,74.5411:232.174:0,7,1,2048bps
25,3,172.16.3.4,73.8882:232.932:0,7,1,2048bps
25.5,3,172.16.3.4,73.2352:233.689:0,7,1,2048bps
26,3,172.16.3.4,72.5823:234.447:0,7,1,2048bps
26.5,3,172.16.3.4,71.9293:235.204:0,7,1,2048bps
27,3,172.16.3.4,71.2764:235.961:0,7,1,2048bps
27.5,3,172.16.3.4,70.6235:236.719:0,7,1,2048bps
28,3,172.16.3.4,69.9705:237.476:0,7,1,2048bps
28.5,3,172.16.3.4,69.3176:238.234:0,7,1,2048bps
29,3,172.16.3.4,68.6647:238.991:0,7,1,2048bps
29.5,3,172.16.3.4,68.0117:239.748:0,7,1,2048bps
