Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,2,172.16.2.4,100:100:0,9,1,2048bps
4,2,172.16.2.4,92.4607:99.0413:0,9,1,2048bps
8,2,172.16.2.4,84.5246:98.0321:0,9,1,2048bps
12,2,172.16.2.4,76.5885:97.023:0,9,1,2048bps
16,2,172.16.2.4,68.6524:96.0138:0,9,1,2048bps
20,2,172.16.2.4,60.7163:95.0047:0,8,1,2048bps
24,2,172.16.2.4,52.7802:93.9955:0,8,1,2048bps
28,2,172.16.2.4,44.8441:92.9864:0,8,1,2048bps
32,2,172.16.2.4,36.908:91.9772:0,8,1,2048bps
36,2,172.16.2.4,28.972:90.968:0,7,1,2048bps
40,2,172.16.2.4,21.0359:89.9589:0,7,1,2048bps
