Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.7,243.536:246.722:0,9,1,2048bps
0.1,3,172.16.3.7,243.361:246.819:0,9,1,2048bps
0.2,3,172.16.3.7,243.186:246.915:0,9,1,2048bps
0.3,3,172.16.3.7,243.011:247.011:0,9,1,2048bps
0.4,3,172.16.3.7,242.836:247.108:0,9,1,2048bps
0.5,3,172.16.3.7,242.66:247.204:0,9,1,2048bps
0.6,3,172.16.3.7,242.485:247.301:0,9,1,2048bps
0.7,3,172.16.3.7,242.31:247.397:0,9,1,2048bps
0.8,3,172.16.3.7,242.135:247.494:0,9,1,2048bps
0.9,3,172.16.3.7,241.96:247.59:0,9,1,2048bps
1,3,172.16.3.7,241.784:247.687:0,9,1,2048bps
1.1,3,172.16.3.7,241.609:247.783:0,9,1,2048bps
1.2,3,172.16.3.7,241.434:247.88:0,9,1,2048bps
