Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.6,248.128:245.406:0,9,1,2048bps
0.1,3,172.16.3.6,248.188:245.597:0,9,1,2048bps
0.2,3,172.16.3.6,248.247:245.788:0,9,1,2048bps
0.3,3,172.16.3.6,248.307:245.979:0,9,1,2048bps
0.4,3,172.16.3.6,248.367:246.169:0,9,1,2048bps
0.5,3,172.16.3.6,248.426:246.36:0,9,1,2048bps
0.6,3,172.16.3.6,248.486:246.551:0,9,1,2048bps
0.7,3,172.16.3.6,248.546:246.742:0,9,1,2048bps
0.8,3,172.16.3.6,248.605:246.933:0,9,1,2048bps
0.9,3,172.16.3.6,248.665:247.124:0,9,1,2048bps
1,3,172.16.3.6,248.725:247.315:0,9,1,2048bps
1.1,3,172.16.3.6,248.784:247.506:0,9,1,2048bps
1.2,3,172.16.3.6,248.844:247.697:0,9,1,2048bps
