Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.4,249.893:248.226:0,9,1,2048bps
0.5,3,172.16.3.4,250.859:247.971:0,9,1,2048bps
1,3,172.16.3.4,251.826:247.715:0,9,1,2048bps
1.5,3,172.16.3.4,252.793:247.46:0,9,1,2048bps
2,3,172.16.3.4,253.76:247.205:0,9,1,2048bps
2.5,3,172.16.3.4,254.727:246.95:0,9,1,2048bps
3,3,172.16.3.4,255.694:246.694:0,9,1,2048bps
3.5,3,172.16.3.4,256.661:246.439:0,9,1,2048bps
4,3,172.16.3.4,257.628:246.184:0,9,1,2048bps
4.5,3,172.16.3.4,258.594:245.928:0,9,1,2048bps
5,3,172.16.3.4,259.561:245.673:0,9,1,2048bps
5.5,3,172.16.3.4,260.528:245.418:0,9,1,2048bps
6,3,172.16.3.4,261.495:245.163:0,9,1,2048bps
6.5,3,172.16.3.4,262.462:244.907:0,9,1,2048bps
7,3,172.16.3.4,263.429:244.652:0,9,1,2048bps
7.5,3,172.16.3.4,264.396:244.397:0,9,1,2048bps
8,3,172.16.3.4,265.363:244.142:0,9,1,2048bps
8.5,3,172.16.3.4,266.329:243.886:0,9,1,2048bps
9,3,172.16.3.4,267.296:243.631:0,9,1,2048bps
9.5,3,172.16.3.4,268.263:243.376:0,9,1,2048bps
10,3,172.16.3.4,269.23:243.121:0,9,1,2048bps
10.5,3,172.16.3.4,270.197:242.865:0,9,1,2048bps
11,3,172.16.3.4,271.164:242.61:0,9,1,2048bps
11.5,3,172.16.3.4,272.131:242.355:0,9,1,2048bps
12,3,172.16.3.4,273.097:242.099:0,9,1,2048bps
12.5,3,172.16.3.4,274.064:241.844:0,9,1,2048bps
13,3,172.16.3.4,275.031:241.589:0,9,1,2048bps
13.5,3,172.16.3.4,275.998:241.334:0,9,1,2048bps
14,3,172.16.3.4,276.965:241.078:0,9,1,2048bps
14.5,3,172.16.3.4,277.932:240.823:0,9,1,2048bps
15,3,172.16.3.4,278.899:240.568:0,9,1,2048bps
15.5,3,172.16.3.4,279.866:240.313:0,9,1,2048bps
16,3,172.16.3.4,280.832:240.057:0,9,1,2048bps
16.5,3,172.16.3.4,281.799:239.802:0,9,1,2048bps
17,3,172.16.3.4,282.766:239.547:0,9,1,2048bps
17.5,3,172.16.3.4,283.733:239.292:0,9,1,2048bps
18,3,172.16.3.4,284.7:239.036:0,9,1,2048bps
18.5,3,172.16.3.4,285.667:238.781:0,9,1,2048bps
19,3,172.16.3.4,286.634:238.526:0,9,1,2048bps
19.5,3,172.16.3.4,287.601:238.27:0,9,1,2048bps
20,3,172.16.3.4,288.567:238.015:0,9,1,2048bps
20.5,3,172.16.3.4,289.534:237.76:0,9,1,2048bps
21,3,172.16.3.4,290.501:237.505:0,9,1,2048bps
21.5,3,172.16.3.4,291.468:237.249:0,9,1,2048bps
22,3,172.16.3.4,292.435:236.994:0,9,1,2048bps
22.5,3,172.16.3.4,293.402:236.739:0,9,1,2048bps
23,3,172.16.3.4,294.369:236.484:0,9,1,2048bps
23.5,3,172.16.3.4,295.336:236.228:0,9,1,2048bps
24,3,172.16.3.4,296.302:235.973:0,9,1,2048bps
24.5,3,172.16.3.4,297.269:235.718:0,9,1,2048bps
25,3,172.16.3.4,298.236:235.463:0,9,1,2048bps
25.5,3,172.16.3.4,299.203:235.207:0,9,1,2048bps
26,3,172.16.3.4,300:234.997:0,9,1,2048bps
26.5,3,172.16.3.4,299.786:235.742:0,9,1,2048bps
27,3,172.16.3.4,299.51:236.704:0,9,1,2048bps
27.5,3,172.16.3.4,299.234:237.665:0,9,1,2048bps
28,3,172.16.3.4,298.958:238.626:0,9,1,2048bps
28.5,3,172.16.3.4,298.682:239.587:0,9,1,2048bps
29,3,172.16.3.4,298.406:240.548:0,9,1,2048bps
29.5,3,172.16.3.4,298.13:241.509:0,9,1,2048bps
