Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,2,172.16.2.2,98.5073:100:0,9,1,2048bps
4,2,172.16.2.2,94.9845:98.0491:0,9,1,2048bps
8,2,172.16.2.2,87.0068:97.4524:0,9,1,2048bps
12,2,172.16.2.2,79.0291:96.8557:0,9,1,2048bps
16,2,172.16.2.2,71.0514:96.2589:0,9,1,2048bps
20,2,172.16.2.2,63.0737:95.6622:0,8,1,2048bps
24,2,172.16.2.2,55.0959:95.0655:0,8,1,2048bps
28,2,172.16.2.2,47.1182:94.4688:0,8,1,2048bps
32,2,172.16.2.2,39.1405:93.8721:0,8,1,2048bps
36,2,172.16.2.2,31.1628:93.2754:0,7,1,2048bps
40,2,172.16.2.2,23.1851:92.6787:0,7,1,2048bps
