Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,2,172.16.2.3,100:100:0,9,1,2048bps
4,2,172.16.2.3,95.9958:93.5404:0,9,1,2048bps
8,2,172.16.2.3,91.7809:86.7408:0,9,1,2048bps
12,2,172.16.2.3,87.566:79.9412:0,9,1,2048bps
16,2,172.16.2.3,83.3511:73.1416:0,9,1,2048bps
20,2,172.16.2.3,79.1362:66.342:0,6,1,2048bps
24,2,172.16.2.3,74.9213:59.5424:0,6,1,2048bps
28,2,172.16.2.3,70.7064:52.7428:0,6,1,2048bps
32,2,172.16.2.3,66.4915:45.9432:0,5,1,2048bps
36,2,172.16.2.3,62.2766:39.1436:0,5,1,2048bps
40,2,172.16.2.3,58.0617:32.344:0,2,1,2048bps
