Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,2,172.16.2.5,100:100:0,9,1,2048bps
4,2,172.16.2.5,95.7313:94.7068:0,9,1,2048bps
8,2,172.16.2.5,90.7093:88.4795:0,9,1,2048bps
12,2,172.16.2.5,85.6872:82.2522:0,9,1,2048bps
16,2,172.16.2.5,80.6652:76.0249:0,9,1,2048bps
20,2,172.16.2.5,75.6432:69.7976:0,9,1,2048bps
24,2,172.16.2.5,70.6212:63.5703:0,6,1,2048bps
28,2,172.16.2.5,65.5992:57.343:0,5,1,2048bps
32,2,172.16.2.5,60.5772:51.1156:0,5,1,2048bps
36,2,172.16.2.5,55.5551:44.8883:0,5,1,2048bps
40,2,172.16.2.5,50.5331:38.661:0,5,1,2048bps
